ORIGIN_SHIFT,RESOLUTION,AVG_COUNT
0.01,0.1,1.01801
0.05,0.1,1.01806
0.07,0.1,1.01801
0.09,0.1,1.01795
0.01,0.15,1.05787
0.03,0.15,1.05763
0.05,0.15,1.05755
0.07,0.15,1.05762
0.09,0.15,1.05774
0.11,0.15,1.05783
0.13,0.15,1.05761
0.15,0.15,1.05772
0.16,0.15,1.05787
0,0.2,1.13401
0.01,0.2,1.13409
0.03,0.2,1.13389
0.05,0.2,1.13393
0.07,0.2,1.13394
0.09,0.2,1.134
0.11,0.2,1.13406
0.13,0.2,1.13404
0.15,0.2,1.13404
0.17,0.2,1.1341
0.19,0.2,1.13404
0,0.3,1.46251
0.05,0.3,1.46204
0.1,0.3,1.46203
0.15,0.3,1.46218
0.2,0.3,1.46192
0.25,0.3,1.46235
0,0.5,3.57336
0.05,0.5,3.57302
0.1,0.5,3.57281
0.15,0.5,3.57222
0.2,0.5,3.57199
0.3,0.5,3.57229
0.4,0.5,3.57214
0.45,0.5,3.57242
0,1,26.0177
0.1,1,26.0143
0.2,1,26.0153
0.3,1,26.016
0.4,1,26.0198
0.5,1,26.0183
0.6,1,26.0134
0.7,1,26.02
0.8,1,26.0195
0.9,1,26.0188
0,2,194.888
0.2,2,194.972
0.5,2,194.955
0.7,2,194.766
1,2,194.859
1.2,2,194.775
1.5,2,194.846
1.7,2,194.825
1.8,2,194.871
1.9,2,194.867
